id,name,team_id,team,element_type,position,cost,form,points_per_game,total_points,official_chance,official_availablity,selected_by_percent,transfers_in_event,transfers_out_event,gw_24_xp,gw_24_prob_of_appearing,gw_25_xp,gw_25_prob_of_appearing,gw_26_xp,gw_26_prob_of_appearing,gw_27_xp,gw_27_prob_of_appearing,gw_28_xp,gw_28_prob_of_appearing,gw_29_xp,gw_29_prob_of_appearing,gw_30_xp,gw_30_prob_of_appearing,gw_31_xp,gw_31_prob_of_appearing,gw_32_xp,gw_32_prob_of_appearing,gw_33_xp,gw_33_prob_of_appearing,gw_34_xp,gw_34_prob_of_appearing,gw_35_xp,gw_35_prob_of_appearing,gw_36_xp,gw_36_prob_of_appearing,gw_37_xp,gw_37_prob_of_appearing,gw_38_xp,gw_38_prob_of_appearing
690,Baleba,5,BHA,3,MID,4.5,0.3,1.0,14,,Available,0.0,4,20,1.40596,0.69484,1.52778,0.69484,1.60877,0.69484,1.57566,0.69484,1.69187,0.69484,1.5344,0.69484,1.50763,0.69484,1.61629,0.69484,1.57001,0.69484,1.59971,0.69484,1.61948,0.69484,1.61885,0.69484,1.58227,0.69484,1.5549,0.69484,1.66117,0.69484
700,Ansu Fati,5,BHA,3,MID,6.4,0.3,2.2,22,100.0,Available,0.3,62,46,2.38976,0.92727,2.59453,0.92727,2.70907,0.92727,2.57146,0.92727,2.81839,0.92727,2.47037,0.92727,2.41119,0.92727,2.65135,0.92727,2.54907,0.92727,2.61469,0.92727,2.6584,0.92727,2.65701,0.92727,2.57615,0.92727,2.51567,0.92727,2.75052,0.92727
741,O’Mahony,5,BHA,4,FWD,4.5,0.0,0.0,0,,Available,0.0,14,7,1.48178,0.00895,1.51911,0.00895,1.47608,0.00895,1.45602,0.00895,1.67713,0.00895,1.3359,0.00895,1.29564,0.00895,1.3672,0.00895,1.32655,0.00895,1.39882,0.00895,1.38588,0.00895,1.42117,0.00895,1.41127,0.00895,1.45163,0.00895,1.434,0.00895
742,Baker-Boaitey,5,BHA,3,MID,4.5,0.3,1.0,3,,Available,0.0,1,0,1.20109,0.20677,1.26863,0.20677,1.31284,0.20677,1.26591,0.20677,1.31839,0.20677,1.22842,0.20677,1.21312,0.20677,1.27521,0.20677,1.24877,0.20677,1.26573,0.20677,1.27703,0.20677,1.27667,0.20677,1.25577,0.20677,1.24013,0.20677,1.30085,0.20677
746,Jackson,5,BHA,2,DEF,4.0,0.0,0.0,0,,Available,0.0,17,13,1.36053,0.0131,1.58479,0.0131,1.88232,0.0131,1.66417,0.0131,1.88255,0.0131,1.2207,0.0131,1.0635,0.0131,1.55251,0.0131,1.52941,0.0131,1.86641,0.0131,1.46609,0.0131,1.69384,0.0131,1.62051,0.0131,1.23944,0.0131,1.70442,0.0131
747,Duffus,5,BHA,3,MID,4.4,0.0,0.0,0,,Available,0.0,2,0,1.30767,0.01192,1.35768,0.01192,1.37964,0.01192,1.32319,0.01192,1.38631,0.01192,1.2781,0.01192,1.2597,0.01192,1.33437,0.01192,1.30257,0.01192,1.32297,0.01192,1.33656,0.01192,1.33613,0.01192,1.31099,0.01192,1.29218,0.01192,1.36521,0.01192
753,Kavanagh,5,BHA,2,DEF,4.0,0.0,0.0,0,,Available,0.0,2,2,1.37221,0.01738,1.59723,0.01738,1.89575,0.01738,1.67687,0.01738,1.89598,0.01738,1.23191,0.01738,1.07419,0.01738,1.56484,0.01738,1.54166,0.01738,1.87979,0.01738,1.47813,0.01738,1.70664,0.01738,1.63306,0.01738,1.25071,0.01738,1.71725,0.01738
755,Barrington,5,BHA,3,MID,4.5,0.0,0.0,0,,Available,0.0,2,1,1.33295,0.02164,1.38366,0.02164,1.40592,0.02164,1.34869,0.02164,1.41269,0.02164,1.30297,0.02164,1.28432,0.02164,1.36003,0.02164,1.32778,0.02164,1.34847,0.02164,1.36225,0.02164,1.36181,0.02164,1.33632,0.02164,1.31725,0.02164,1.39129,0.02164
786,Peupion,5,BHA,3,MID,4.5,0.0,0.0,0,,Available,0.0,0,0,1.41193,0.13294,1.46481,0.13294,1.48802,0.13294,1.42834,0.13294,1.49508,0.13294,1.38067,0.13294,1.36121,0.13294,1.44016,0.13294,1.40654,0.13294,1.42811,0.13294,1.44248,0.13294,1.44202,0.13294,1.41544,0.13294,1.39556,0.13294,1.47277,0.13294
156,Agyei,6,BUR,3,MID,4.2,0.0,0.0,0,,Available,0.2,287,90,1.14376,0.00361,1.18383,0.00361,1.18015,0.00361,1.27931,0.00361,1.18981,0.00361,1.23166,0.00361,1.16879,0.00361,1.23655,0.00361,1.19412,0.00361,1.21319,0.00361,1.23533,0.00361,1.19905,0.00361,1.2596,0.00361,1.18859,0.00361,1.26209,0.00361
157,Al-Dakhil,6,BUR,2,DEF,3.8,3.0,1.5,19,100.0,Available,1.2,2193,418,1.8843,0.39366,2.38522,0.39366,2.59194,0.39366,2.54534,0.39366,2.14797,0.39366,2.52303,0.39366,1.9158,0.39366,2.55043,0.39366,2.20883,0.39366,2.18676,0.39366,2.29993,0.39366,2.13089,0.39366,2.42336,0.39366,2.02292,0.39366,2.6677,0.39366
158,Bastien,6,BUR,3,MID,4.9,0.0,0.0,0,0.0,Unavailable,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Benson,6,BUR,3,MID,5.2,0.0,1.0,4,100.0,Available,0.1,4,4,1.98208,0.06811,2.07429,0.06811,2.06583,0.06811,2.29401,0.06811,2.08804,0.06811,2.18436,0.06811,2.03969,0.06811,2.19561,0.06811,2.09796,0.06811,2.14186,0.06811,2.19281,0.06811,2.10932,0.06811,2.24866,0.06811,2.08525,0.06811,2.25439,0.06811
160,Beyer,6,BUR,2,DEF,4.0,0.0,2.0,30,50.0,Doubtful,1.2,9,355,1.64441,0.30482,2.32676,0.62931,2.64558,0.81752,2.68249,0.87378,2.23206,0.89567,2.6572,0.89567,1.96888,0.89567,2.68825,0.89567,2.30104,0.89567,2.27603,0.89567,2.4043,0.89567,2.21269,0.89567,2.54422,0.89567,2.09031,0.89567,2.82119,0.89567
161,Brownhill,6,BUR,3,MID,4.7,2.0,2.5,56,,Available,0.2,44,153,2.99004,0.9403,3.1621,0.9403,3.17263,0.9403,3.52109,0.9403,3.2118,0.9403,3.35717,0.9403,3.13882,0.9403,3.37416,0.9403,3.22677,0.9403,3.29303,0.9403,3.36993,0.9403,3.24391,0.9403,3.45422,0.9403,3.20758,0.9403,3.46287,0.9403
162,Churlinov,6,BUR,3,MID,4.4,0.0,0.0,0,0.0,Unavailable,0.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,Cork,6,BUR,3,MID,4.8,0.3,1.0,2,100.0,Available,0.0,1,2,1.5765,0.23462,1.67596,0.23462,1.70136,0.23462,1.86923,0.23462,1.7177,0.23462,1.78856,0.23462,1.68213,0.23462,1.79684,0.23462,1.725,0.23462,1.75729,0.23462,1.79478,0.23462,1.73335,0.23462,1.83586,0.23462,1.71564,0.23462,1.84007,0.23462
164,Costelloe,6,BUR,3,MID,4.5,0.0,0.0,0,0.0,Unavailable,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Cullen,6,BUR,3,MID,5.0,0.7,1.7,20,100.0,Available,0.1,4,5,2.06772,0.22626,2.17284,0.22626,2.17672,0.22626,2.40623,0.22626,2.19906,0.22626,2.29594,0.22626,2.15043,0.22626,2.30726,0.22626,2.20904,0.22626,2.2532,0.22626,2.30444,0.22626,2.22046,0.22626,2.36062,0.22626,2.19625,0.22626,2.36638,0.22626
166,Egan-Riley,6,BUR,2,DEF,3.9,0.0,0.0,0,,Available,0.2,15,35,0.96234,0.00312,1.41344,0.00312,1.63392,0.00312,1.65945,0.00312,1.34796,0.00312,1.64196,0.00312,1.16596,0.00312,1.66344,0.00312,1.39566,0.00312,1.37836,0.00312,1.46707,0.00312,1.33457,0.00312,1.56383,0.00312,1.24993,0.00312,1.75536,0.00312
167,Ekdal,6,BUR,2,DEF,3.9,0.7,0.8,5,100.0,Available,0.1,23,21,0.94171,0.82386,1.45587,0.82386,1.7313,0.82386,1.79328,0.82386,1.50195,0.82386,1.80627,0.82386,1.31356,0.82386,1.82849,0.82386,1.55132,0.82386,1.53342,0.82386,1.62524,0.82386,1.48809,0.82386,1.72539,0.82386,1.40048,0.82386,1.92365,0.82386
168,Foster,6,BUR,4,FWD,4.7,1.7,3.7,52,100.0,Available,0.5,99,275,2.39111,0.92326,2.50451,0.92326,2.5815,0.92326,2.70296,0.92326,2.92479,0.92326,2.74745,0.92326,2.68136,0.92326,2.85058,0.92326,2.99673,0.92326,2.88214,0.92326,2.97409,0.92326,2.69346,0.92326,3.03752,0.92326,2.90223,0.92326,3.27828,0.92326
169,Franchi,6,BUR,1,GKP,3.9,0.0,0.0,0,0.0,Unavailable,0.1,0,46,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002
170,Gudmundsson,6,BUR,3,MID,4.8,1.7,1.8,29,100.0,Available,0.0,2,5,2.23695,0.90068,2.41509,0.90068,2.45067,0.90068,2.79887,0.90068,2.56963,0.90068,2.69457,0.90068,2.5069,0.90068,2.70917,0.90068,2.58249,0.90068,2.63944,0.90068,2.70554,0.90068,2.59723,0.90068,2.77798,0.90068,2.566,0.90068,2.78541,0.90068
171,McNally,6,BUR,2,DEF,4.0,0.0,0.0,0,0.0,Unavailable,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,Muric,6,BUR,1,GKP,4.3,0.0,0.0,0,100.0,Available,0.1,10,9,3.39576,0.06003,3.07584,0.06003,3.3023,0.06003,3.31176,0.06003,3.05799,0.06003,3.17022,0.06003,3.07915,0.06003,3.22287,0.06003,3.52766,0.06003,3.29065,0.06003,3.29676,0.06003,3.42623,0.06003,3.13647,0.06003,3.27995,0.06003,3.50637,0.06003
173,O'Shea,6,BUR,2,DEF,4.4,1.3,1.8,35,,Available,0.2,27,121,1.88905,0.93157,2.57507,0.93157,2.93092,0.93157,2.99717,0.93157,2.5916,0.93157,2.99523,0.93157,2.34175,0.93157,3.02471,0.93157,2.65709,0.93157,2.63335,0.93157,2.75513,0.93157,2.57322,0.93157,2.88797,0.93157,2.45703,0.93157,3.15092,0.93157
174,Obafemi,6,BUR,4,FWD,4.9,0.0,1.0,2,0.0,Unavailable,0.0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,Peacock-Farrell,6,BUR,1,GKP,4.0,0.0,0.0,0,0.0,Unavailable,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Roberts,6,BUR,2,DEF,4.3,0.3,0.9,12,100.0,Available,0.2,7,22,1.2399,0.54762,1.83237,0.54762,2.13776,0.54762,2.18692,0.54762,1.83461,0.54762,2.16714,0.54762,1.62877,0.54762,2.19143,0.54762,1.88856,0.54762,1.869,0.54762,1.96933,0.54762,1.81947,0.54762,2.07877,0.54762,1.72374,0.54762,2.2954,0.54762
177,Rodriguez,6,BUR,4,FWD,5.3,0.0,2.5,33,,Available,0.2,42,125,2.59516,0.28281,2.6612,0.28281,2.69227,0.28281,2.79164,0.28281,3.01796,0.28281,2.8211,0.28281,2.74775,0.28281,2.93559,0.28281,3.09782,0.28281,2.97062,0.28281,3.07269,0.28281,2.76117,0.28281,3.1431,0.28281,2.99293,0.28281,3.41036,0.28281
178,Taylor,6,BUR,2,DEF,4.0,0.0,2.1,34,50.0,Doubtful,4.4,57,1689,1.66632,0.27453,2.29124,0.56677,2.58281,0.75033,2.61657,0.82237,2.20464,0.84984,2.59344,0.84984,1.96396,0.84984,2.62184,0.84984,2.26772,0.84984,2.24485,0.84984,2.36216,0.84984,2.18693,0.84984,2.49012,0.84984,2.075,0.84984,2.74341,0.84984
179,Thomas,6,BUR,2,DEF,4.0,0.0,0.0,0,0.0,Unavailable,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,Twine,6,BUR,3,MID,4.9,0.0,0.0,0,0.0,Unavailable,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,Vigouroux,6,BUR,1,GKP,3.9,0.0,0.0,0,,Available,0.3,23,33,3.12959,0.00203,2.85201,0.00203,3.04851,0.00203,3.05671,0.00203,2.83652,0.00203,2.9339,0.00203,2.85488,0.00203,2.97958,0.00203,3.24404,0.00203,3.0384,0.00203,3.0437,0.00203,3.15603,0.00203,2.90462,0.00203,3.02911,0.00203,3.22557,0.00203
182,Vitinho,6,BUR,2,DEF,4.4,1.3,1.8,30,100.0,Available,0.1,18,49,2.01939,0.92883,2.72857,0.92883,3.08645,0.92883,3.15184,0.92883,2.72925,0.92883,3.14666,0.92883,2.47087,0.92883,3.17714,0.92883,2.79697,0.92883,2.77242,0.92883,2.89836,0.92883,2.71024,0.92883,3.03573,0.92883,2.59008,0.92883,3.30766,0.92883
183,Weghorst,6,BUR,4,FWD,5.5,0.0,0.0,0,0.0,Unavailable,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Zaroury,6,BUR,3,MID,4.6,0.3,0.7,4,100.0,Available,0.0,5,4,1.512,0.20728,1.60306,0.20728,1.61919,0.20728,1.81148,0.20728,1.65814,0.20728,1.72984,0.20728,1.62215,0.20728,1.73823,0.20728,1.66553,0.20728,1.69821,0.20728,1.73614,0.20728,1.67398,0.20728,1.77772,0.20728,1.65606,0.20728,1.78198,0.20728
200,D.D.Fofana,6,BUR,4,FWD,5.0,5.0,7.5,15,100.0,Available,0.0,655,31,1.7531,0.89506,1.75933,0.89506,1.7377,0.89506,1.77048,0.89506,1.89531,0.89506,1.73844,0.89506,1.67998,0.89506,1.82967,0.89506,1.95895,0.89506,1.85758,0.89506,1.93892,0.89506,1.69067,0.89506,1.99503,0.89506,1.87536,0.89506,2.20801,0.89506
475,Berge,6,BUR,3,MID,4.7,1.0,2.0,44,,Available,0.1,6,30,2.4201,0.85414,2.59129,0.85414,2.60155,0.85414,2.92297,0.85414,2.66689,0.85414,2.79354,0.85414,2.60332,0.85414,2.80834,0.85414,2.67993,0.85414,2.73766,0.85414,2.80466,0.85414,2.69487,0.85414,2.87809,0.85414,2.66322,0.85414,2.88562,0.85414
594,Amdouni,6,BUR,4,FWD,5.3,4.0,3.0,66,,Available,0.3,86,555,2.776,0.93751,2.88278,0.93751,2.96022,0.93751,3.09866,0.93751,3.35697,0.93751,3.15682,0.93751,3.08224,0.93751,3.27321,0.93751,3.43815,0.93751,3.30883,0.93751,3.4126,0.93751,3.09589,0.93751,3.48419,0.93751,3.33151,0.93751,3.75591,0.93751
596,Trafford,6,BUR,1,GKP,4.5,1.7,2.7,62,,Available,1.1,73,385,3.84654,0.94941,3.47346,0.94941,3.73756,0.94941,3.74858,0.94941,3.45264,0.94941,3.58352,0.94941,3.47732,0.94941,3.64492,0.94941,4.00037,0.94941,3.72397,0.94941,3.7311,0.94941,3.88208,0.94941,3.54417,0.94941,3.71149,0.94941,3.97554,0.94941
600,Redmond,6,BUR,3,MID,4.7,0.0,0.9,11,0.0,Injured,0.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,Koleosho,6,BUR,3,MID,4.8,0.0,2.7,40,0.0,Injured,0.1,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61324,0.01,2.82853,0.73631
608,Bruun Larsen,6,BUR,3,MID,4.9,0.7,1.8,32,,Available,0.0,8,2,1.6962,0.66532,1.82975,0.66532,1.88176,0.66532,2.09814,0.66532,1.96283,0.66532,2.04084,0.66532,1.92366,0.66532,2.04996,0.66532,1.97086,0.66532,2.00642,0.66532,2.04769,0.66532,1.98006,0.66532,2.09293,0.66532,1.96056,0.66532,2.09757,0.66532
622,Dodgson,6,BUR,2,DEF,4.0,0.0,0.0,0,0.0,Unavailable,0.0,0,1,1.7441,0.0,1.86842,0.0,2.11724,0.0,1.5122,0.0,1.85174,0.0,1.40833,0.0,2.00462,0.0,1.67442,0.0,1.56174,0.0,1.56296,0.0,1.4644,0.0,1.83082,0.0,1.47099,0.0,2.12633,0.0,1.4769,0.0
660,Odobert,6,BUR,3,MID,5.0,3.3,3.4,47,,Available,0.1,25,77,2.40827,0.89715,2.54246,0.89715,2.55366,0.89715,2.84147,0.89715,2.60581,0.89715,2.71987,0.89715,2.54855,0.89715,2.73321,0.89715,2.61756,0.89715,2.66955,0.89715,2.72989,0.89715,2.63101,0.89715,2.79603,0.89715,2.6025,0.89715,2.80281,0.89715
674,Delcroix,6,BUR,2,DEF,4.0,0.0,0.7,6,50.0,Doubtful,0.0,1,13,1.19827,0.12286,1.66413,0.25366,1.88021,0.33689,1.90523,0.37652,1.59994,0.39634,1.88809,0.39634,1.42158,0.39634,1.90913,0.39634,1.64669,0.39634,1.62974,0.39634,1.71668,0.39634,1.58682,0.39634,1.81151,0.39634,1.50387,0.39634,1.99923,0.39634
675,A.Ramsey,6,BUR,3,MID,5.0,1.0,1.2,15,100.0,Available,0.0,18,9,1.74245,0.75902,1.8714,0.75902,1.89611,0.75902,2.10722,0.75902,1.95322,0.75902,2.02908,0.75902,1.91513,0.75902,2.03795,0.75902,1.96103,0.75902,1.99561,0.75902,2.03574,0.75902,1.96998,0.75902,2.07974,0.75902,1.95102,0.75902,2.08425,0.75902
694,Massengo,6,BUR,3,MID,4.9,0.7,1.0,2,,Available,0.0,1,1,1.50935,0.38347,1.64021,0.38347,1.69466,0.38347,1.92872,0.38347,1.80689,0.38347,1.87999,0.38347,1.77018,0.38347,1.88853,0.38347,1.81441,0.38347,1.84774,0.38347,1.88641,0.38347,1.82303,0.38347,1.9288,0.38347,1.80476,0.38347,1.93314,0.38347
706,M.Trésor,6,BUR,3,MID,5.3,0.3,1.3,18,,Available,0.0,3,5,1.94039,0.57354,2.07311,0.57354,2.09344,0.57354,2.28795,0.57354,2.11237,0.57354,2.19447,0.57354,2.07116,0.57354,2.20407,0.57354,2.12083,0.57354,2.15825,0.57354,2.20168,0.57354,2.13051,0.57354,2.24929,0.57354,2.10999,0.57354,2.25417,0.57354
805,Assignon,6,BUR,2,DEF,4.0,4.0,4.0,4,,Available,0.0,117,3,1.53301,0.56727,2.11218,0.56727,2.39751,0.56727,2.43446,0.56727,2.04202,0.56727,2.41661,0.56727,1.81015,0.56727,2.44396,0.56727,2.1028,0.56727,2.08077,0.56727,2.19378,0.56727,2.02496,0.56727,2.31706,0.56727,1.91713,0.56727,2.56109,0.56727
806,Estève,6,BUR,2,DEF,4.0,1.0,1.0,1,,Available,0.0,7,1,1.02889,0.56727,1.50803,0.56727,1.75826,0.56727,1.815,0.56727,1.53724,0.56727,1.82905,0.56727,1.3566,0.56727,1.85036,0.56727,1.58458,0.56727,1.56742,0.56727,1.65546,0.56727,1.52395,0.56727,1.7515,0.56727,1.43994,0.56727,1.9416,0.56727
126,Caicedo,7,CHE,3,MID,4.5,1.3,1.8,35,100.0,Available,1.2,157,167,2.75759,0.88512,2.63786,0.88512,0.0,0.0,2.95769,0.88512,3.1172,0.88512,2.78151,0.88512,3.0886,0.88512,3.0647,0.88512,3.04327,0.88512,3.10578,0.88512,2.88562,0.88512,2.84412,0.88512,3.04013,0.88512,3.031,0.88512,3.17724,0.88512
145,Sanchez,7,CHE,1,GKP,4.5,0.0,3.7,59,0.0,Injured,3.2,9,1084,3.53932,0.73283,3.0364,0.83955,0.0,0.0,3.41064,0.86319,3.352,0.86319,3.44978,0.94875,3.52302,0.94875,3.67563,0.94875,3.53306,0.94875,3.71607,0.94875,3.60126,0.94875,3.36024,0.94875,3.83996,0.94875,3.63742,0.94875,3.55,0.94875
185,Ampadu,7,CHE,2,DEF,4.0,0.0,0.0,0,0.0,Unavailable,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Andrey,7,CHE,3,MID,4.3,0.0,1.0,1,100.0,Available,0.1,15,24,1.18808,0.01219,1.12945,0.01219,0.0,0.0,1.22152,0.01219,1.26763,0.01219,1.15729,0.01219,1.25823,0.01219,1.25038,0.01219,1.24333,0.01219,1.26388,0.01219,1.19151,0.01219,1.17787,0.01219,1.2423,0.01219,1.2393,0.01219,1.28737,0.01219
187,Arrizabalaga,7,CHE,1,GKP,5.0,0.0,0.0,0,0.0,Unavailable,0.2,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,Aubameyang,7,CHE,4,FWD,6.5,0.0,0.0,0,0.0,Unavailable,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Azpilicueta,7,CHE,2,DEF,4.5,0.0,0.0,0,0.0,Unavailable,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Baba,7,CHE,2,DEF,4.0,0.0,0.0,0,0.0,Unavailable,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,B.Badiashile,7,CHE,2,DEF,4.4,0.0,2.4,17,100.0,Available,0.1,21,86,2.79311,0.59587,1.95296,0.59587,0.0,0.0,2.54128,0.59587,2.75493,0.59587,2.1268,0.59587,3.12865,0.59587,2.78344,0.59587,2.61023,0.59587,3.04103,0.59587,2.35939,0.59587,2.40501,0.59587,2.88252,0.59587,3.00205,0.59587,2.89792,0.59587
192,Bettinelli,7,CHE,1,GKP,4.0,0.0,0.0,-1,100.0,Available,0.0,10,7,2.9704,0.002,2.59391,0.002,0.0,0.0,2.87407,0.002,2.83017,0.002,2.90337,0.002,2.9582,0.002,3.07245,0.002,2.96571,0.002,3.10271,0.002,3.01677,0.002,2.83634,0.002,3.19546,0.002,3.04384,0.002,2.97839,0.002
194,Chalobah,7,CHE,2,DEF,4.3,0.0,0.0,0,50.0,Doubtful,0.0,3,2,1.98216,0.29317,1.31624,0.60525,0.0,0.0,1.75339,0.78687,1.90121,0.8402,1.41617,0.85829,2.1898,0.85829,1.92323,0.85829,1.78948,0.85829,2.12214,0.85829,1.59578,0.85829,1.631,0.85829,1.99974,0.85829,2.09204,0.85829,2.01164,0.85829
195,Chilwell,7,CHE,2,DEF,5.4,0.0,1.9,15,100.0,Available,5.0,361,355,2.23746,0.9302,1.41269,0.9302,0.0,0.0,2.06468,0.9302,2.28896,0.9302,1.6396,0.9302,2.67531,0.9302,2.31844,0.9302,2.13937,0.9302,2.58473,0.9302,1.88006,0.9302,1.92722,0.9302,2.42087,0.9302,2.54444,0.9302,2.43679,0.9302
196,Chukwuemeka,7,CHE,3,MID,4.2,1.7,2.8,11,100.0,Available,1.1,1923,409,0.97039,0.8967,0.95443,0.8967,0.0,0.0,1.0855,0.8967,1.1433,0.8967,1.03564,0.8967,1.13413,0.8967,1.12646,0.8967,1.11959,0.8967,1.13964,0.8967,1.06903,0.8967,1.05572,0.8967,1.11858,0.8967,1.11565,0.8967,1.16255,0.8967
197,Colwill,7,CHE,2,DEF,4.7,2.3,3.0,61,25.0,Doubtful,5.0,25,6615,3.16725,0.07794,2.27506,0.302,0.0,0.0,2.90535,0.62349,3.11404,0.81998,2.42929,0.88431,3.52144,0.91245,3.14512,0.91245,2.9563,0.91245,3.42592,0.91245,2.68285,0.91245,2.73258,0.91245,3.25313,0.91245,3.38343,0.91245,3.26992,0.91245
198,Cucurella,7,CHE,2,DEF,4.8,0.0,1.1,10,0.0,Injured,0.4,3,61,0.0,0.0,0.0,0.0,0.0,0.0,2.23888,0.01,2.42362,0.68609,1.81744,0.80397,2.78427,0.83181,2.45114,0.83181,2.28398,0.84619,2.69972,0.84619,2.04191,0.84619,2.08593,0.84619,2.54675,0.84619,2.6621,0.84619,2.56162,0.84619
199,Enzo,7,CHE,3,MID,4.8,1.0,2.5,48,100.0,Available,2.2,152,342,3.71296,0.9202,3.45995,0.9202,0.0,0.0,3.96542,0.9202,4.24214,0.9202,3.64809,0.9202,4.19154,0.9202,4.14924,0.9202,4.11131,0.9202,4.22194,0.9202,3.83233,0.9202,3.7589,0.9202,4.10577,0.9202,4.0896,0.9202,4.34839,0.9202
201,W.Fofana,7,CHE,2,DEF,4.4,0.0,0.0,0,0.0,Injured,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,Gallagher,7,CHE,3,MID,5.4,1.3,2.7,57,100.0,Available,0.5,71,155,2.99349,0.93844,2.81304,0.93844,0.0,0.0,3.24786,0.93844,3.47868,0.93844,3.01961,0.93844,3.43958,0.93844,3.40689,0.93844,3.37757,0.93844,3.46307,0.93844,3.16199,0.93844,3.10524,0.93844,3.37329,0.93844,3.3608,0.93844,3.56078,0.93844
